OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100093,Sample-Routine,Water,Surface Water,2021-02-24,13:20:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09426600,,,,"Stable, normal stage",Routine sample,,,50,USGS parameter code 82398,Point sample,,Grab sample,NWIS-120814607,,,Potassium,Dissolved,6.53,mg/l,,Preliminary,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2021-03-23,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100281,Sample-Routine,Water,Surface Water,2021-08-12,13:20:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09426600,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,NWIS-121737146,,,Calcium,Dissolved,65.3,mg/l,,Preliminary,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2021-08-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100281,Sample-Routine,Water,Surface Water,2021-08-12,13:20:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09426600,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,NWIS-121737147,,,Magnesium,Dissolved,20.2,mg/l,,Preliminary,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2021-08-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100281,Sample-Routine,Water,Surface Water,2021-08-12,13:20:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09426600,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,NWIS-121737148,,,Sodium,Dissolved,117,mg/l,,Preliminary,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2021-08-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100281,Sample-Routine,Water,Surface Water,2021-08-12,13:20:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09426600,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,NWIS-121737150,,,"Sodium, percent total cations",,50,%,,Preliminary,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100281,Sample-Routine,Water,Surface Water,2021-08-12,13:20:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09426600,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,NWIS-121737151,,,Potassium,Dissolved,6.94,mg/l,,Preliminary,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2021-08-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000173,Sample-Routine,Water,Surface Water,2020-03-20,10:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,Falling stage,Flood,,,30,USGS parameter code 82398,Single vertical,,US DH-81,NWIS-119106897,,,Calcium,Dissolved,12.8,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-03-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000173,Sample-Routine,Water,Surface Water,2020-03-20,10:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,Falling stage,Flood,,,30,USGS parameter code 82398,Single vertical,,US DH-81,NWIS-119106898,,,Magnesium,Dissolved,5.78,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-03-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000173,Sample-Routine,Water,Surface Water,2020-03-20,10:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,Falling stage,Flood,,,30,USGS parameter code 82398,Single vertical,,US DH-81,NWIS-119106899,,,Sodium,Dissolved,2.15,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-03-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000173,Sample-Routine,Water,Surface Water,2020-03-20,10:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,Falling stage,Flood,,,30,USGS parameter code 82398,Single vertical,,US DH-81,NWIS-119106901,,,"Sodium, percent total cations",,8,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000173,Sample-Routine,Water,Surface Water,2020-03-20,10:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,Falling stage,Flood,,,30,USGS parameter code 82398,Single vertical,,US DH-81,NWIS-119106902,,,Potassium,Dissolved,1.21,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-03-31,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000156,Sample-Routine,Water,Surface Water,2020-02-14,12:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119002868,,,Calcium,Dissolved,40.2,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-02-26,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000156,Sample-Routine,Water,Surface Water,2020-02-14,12:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119002869,,,Magnesium,Dissolved,22.3,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-02-26,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000156,Sample-Routine,Water,Surface Water,2020-02-14,12:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119002870,,,Sodium,Dissolved,5.76,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-02-26,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000156,Sample-Routine,Water,Surface Water,2020-02-14,12:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119002872,,,"Sodium, percent total cations",,6,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000156,Sample-Routine,Water,Surface Water,2020-02-14,12:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119002873,,,Potassium,Dissolved,1.21,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-02-26,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000348,Sample-Routine,Water,Surface Water,2020-09-17,13:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120028737,,,Calcium,Dissolved,39.7,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-07,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000348,Sample-Routine,Water,Surface Water,2020-09-17,13:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120028738,,,Magnesium,Dissolved,24.5,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-07,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000348,Sample-Routine,Water,Surface Water,2020-09-17,13:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120028739,,,Sodium,Dissolved,6.36,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-07,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000348,Sample-Routine,Water,Surface Water,2020-09-17,13:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120028741,,,"Sodium, percent total cations",,6,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000348,Sample-Routine,Water,Surface Water,2020-09-17,13:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120028742,,,Potassium,Dissolved,1.25,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-10-07,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000073,Sample-Routine,Water,Surface Water,2020-01-15,15:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,L-0170050 Please change ATT: To Paul Kerr. Dana is no longer at NWQL.,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-118797985,,,Calcium,Dissolved,38.8,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-01-27,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000073,Sample-Routine,Water,Surface Water,2020-01-15,15:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,L-0170050 Please change ATT: To Paul Kerr. Dana is no longer at NWQL.,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-118797986,,,Magnesium,Dissolved,21.4,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-01-27,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000073,Sample-Routine,Water,Surface Water,2020-01-15,15:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,L-0170050 Please change ATT: To Paul Kerr. Dana is no longer at NWQL.,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-118797987,,,Sodium,Dissolved,5.76,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-01-27,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000073,Sample-Routine,Water,Surface Water,2020-01-15,15:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,L-0170050 Please change ATT: To Paul Kerr. Dana is no longer at NWQL.,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-118797989,,,"Sodium, percent total cations",,6,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000073,Sample-Routine,Water,Surface Water,2020-01-15,15:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,L-0170050 Please change ATT: To Paul Kerr. Dana is no longer at NWQL.,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-118797990,,,Potassium,Dissolved,1.24,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-01-27,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000224,Sample-Routine,Water,Surface Water,2020-04-17,15:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119265899,,,Calcium,Dissolved,33.2,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-04-24,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000224,Sample-Routine,Water,Surface Water,2020-04-17,15:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119265900,,,Magnesium,Dissolved,18.3,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-04-24,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000224,Sample-Routine,Water,Surface Water,2020-04-17,15:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119265901,,,Sodium,Dissolved,4.93,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-04-24,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000224,Sample-Routine,Water,Surface Water,2020-04-17,15:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119265903,,,"Sodium, percent total cations",,6,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000224,Sample-Routine,Water,Surface Water,2020-04-17,15:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119265904,,,Potassium,Dissolved,1.23,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-04-24,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000286,Sample-Routine,Water,Surface Water,2020-07-28,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119647833,,,Calcium,Dissolved,38.9,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-08-20,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000286,Sample-Routine,Water,Surface Water,2020-07-28,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119647834,,,Magnesium,Dissolved,23.9,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-08-20,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000286,Sample-Routine,Water,Surface Water,2020-07-28,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119647835,,,Sodium,Dissolved,6.21,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-08-20,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000286,Sample-Routine,Water,Surface Water,2020-07-28,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119647837,,,"Sodium, percent total cations",,6,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000286,Sample-Routine,Water,Surface Water,2020-07-28,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-119647838,,,Potassium,Dissolved,1.42,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-08-20,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100003,Sample-Routine,Water,Surface Water,2020-10-13,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120135449,,,Calcium,Dissolved,40.6,mg/l,,Preliminary,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-22,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100003,Sample-Routine,Water,Surface Water,2020-10-13,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120135450,,,Magnesium,Dissolved,24.7,mg/l,,Preliminary,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-22,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100003,Sample-Routine,Water,Surface Water,2020-10-13,10:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09505800,,,,"Stable, normal stage",Routine sample,,,55,USGS parameter code 82398,Composite - Multiple point samples,,US DH-81,NWIS-120135451,,,Sodium,Dissolved,6.23,mg/l,,Preliminary,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-22,,,,,,,,NWIS
